iteration,config,total_latency,total_energy,client_cpu_power,client_gpu_power,server_cpu_power,server_gpu_power,reward
1,"(False, False, False, False)",0.43624019622802734,24.02791104030609,0.0,13.347,0.0,13.347000122070312,-24.464151236534118
1,"(False, False, False, True)",0.03202652931213379,17.891373030781747,0.0,14.206,0.0,14.206000328063965,-17.92339956009388
1,"(False, False, True, False)",0.034204959869384766,17.28120226764679,25.0,14.206,5.599999904632568,14.206000328063965,-17.315407227516175
1,"(False, False, True, True)",0.03597116470336914,28.496285925865173,60.0,14.206,18.676000595092773,14.206000328063965,-28.532257090568542
1,"(False, True, False, False)",0.34285521507263184,21.47839494764805,0.0,13.309,0.0,13.309000015258789,-21.82125016272068
1,"(False, True, False, True)",0.03819870948791504,17.762475944280624,0.0,13.309,6.4679999351501465,13.309000015258789,-17.80067465376854
1,"(False, True, True, False)",0.039183616638183594,18.372972838401793,20.0,15.073,5.599999904632568,15.072999954223633,-18.412156455039977
1,"(False, True, True, True)",0.04152822494506836,19.089283749103547,16.7,15.073,0.0,15.072999954223633,-19.130811974048616
1,"(True, False, False, False)",0.18050265312194824,25.30229882335663,0.0,13.243,4.676000118255615,13.243000030517578,-25.482801476478578
1,"(True, False, False, True)",0.04227304458618164,20.453445925235748,0.0,15.043,12.01200008392334,15.043000221252441,-20.49571896982193
1,"(True, False, True, False)",0.04127097129821777,18.501020521879198,0.0,15.043,0.0,15.043000221252441,-18.542291493177416
1,"(True, False, True, True)",0.04125046730041504,22.56210661649704,20.0,17.037,5.599999904632568,17.03700065612793,-22.603357083797455
1,"(True, True, False, False)",0.046994924545288086,21.72026790547371,0.0,17.037,0.0,17.03700065612793,-21.767262830018996
1,"(True, True, False, True)",0.045355796813964844,22.565872773170472,9.1,16.465,0.0,16.46500015258789,-22.611228569984437
1,"(True, True, True, False)",0.048961639404296875,22.052879428863527,50.0,16.465,0.0,16.46500015258789,-22.101841068267824
1,"(True, True, True, True)",0.04927778244018555,21.719338358402254,0.0,16.813,5.599999904632568,16.812999725341797,-21.76861614084244
2,"(False, False, False, False)",0.030663251876831055,21.196982310533524,0.0,16.813,0.0,16.812999725341797,-21.227645562410355
2,"(False, False, False, True)",0.03176546096801758,23.193477330207827,0.0,17.507,0.0,17.506999969482422,-23.225242791175845
2,"(False, False, True, False)",0.032932281494140625,20.766567873001097,0.0,17.507,0.0,17.506999969482422,-20.799500154495238
2,"(False, False, True, True)",0.03443717956542969,21.601124067306518,25.0,17.507,0.0,17.506999969482422,-21.635561246871948
2,"(False, True, False, False)",0.037989139556884766,21.386031024932862,0.0,17.881,7.0,17.881000518798828,-21.424020164489747
2,"(False, True, False, True)",0.03651285171508789,21.02402017736435,0.0,17.881,0.0,17.881000518798828,-21.060533029079437
2,"(False, True, True, False)",0.04091072082519531,22.46248446559906,9.1,16.858,2.5480000972747803,16.857999801635742,-22.503395186424257
2,"(False, True, True, True)",0.04186725616455078,23.636642463684083,66.7,16.858,18.676000595092773,16.857999801635742,-23.678509719848634
2,"(True, False, False, False)",0.049207210540771484,27.971571525335314,20.0,16.895,5.599999904632568,16.895000457763672,-28.020778735876085
2,"(True, False, False, True)",0.03689455986022949,20.797235635519026,20.0,16.895,5.599999904632568,16.895000457763672,-20.834130195379256
2,"(True, False, True, False)",0.04145097732543945,21.430720562696457,9.1,16.856,0.0,16.856000900268555,-21.472171540021897
2,"(True, False, True, True)",0.04033660888671875,21.520321632385254,0.0,16.856,5.599999904632568,16.856000900268555,-21.560658241271973
2,"(True, True, False, False)",0.04578995704650879,21.243546700000763,0.0,16.872,0.0,16.871999740600586,-21.289336657047272
2,"(True, True, False, True)",0.047681331634521484,20.570726461410523,33.3,16.872,7.0,16.871999740600586,-20.618407793045044
2,"(True, True, True, False)",0.05039381980895996,21.642057016849517,0.0,16.912,0.0,16.91200065612793,-21.692450836658477
2,"(True, True, True, True)",0.05044150352478027,21.87330256795883,0.0,16.912,0.0,16.91200065612793,-21.92374407148361
3,"(False, False, False, False)",0.03414487838745117,22.117873294591902,0.0,16.921,5.599999904632568,16.92099952697754,-22.152018172979353
3,"(False, False, False, True)",0.02862071990966797,19.837239151954652,20.0,16.921,2.5480000972747803,16.92099952697754,-19.86585987186432
3,"(False, False, True, False)",0.03586983680725098,22.48724939715862,0.0,18.438,0.0,18.437999725341797,-22.523119233965872
3,"(False, False, True, True)",0.03437995910644531,22.588557147979735,0.0,18.438,0.0,18.437999725341797,-22.62293710708618
3,"(False, True, False, False)",0.037931203842163086,28.918343212604523,66.7,17.152,18.676000595092773,17.152000427246094,-28.956274416446686
3,"(False, True, False, True)",0.03990936279296875,25.24733848190308,0.0,17.152,0.0,17.152000427246094,-25.287247844696047
3,"(False, True, True, False)",0.04044604301452637,21.334860381126404,40.0,17.152,0.0,17.152000427246094,-21.37530642414093
3,"(False, True, True, True)",0.03986644744873047,21.48248662042618,16.7,16.875,5.599999904632568,16.875,-21.52235306787491
3,"(True, False, False, False)",0.0374293327331543,20.81112402677536,25.0,16.875,5.599999904632568,16.875,-20.848553359508514
3,"(True, False, False, True)",0.037874460220336914,21.250322113990784,16.7,16.909,0.0,16.909000396728516,-21.28819657421112
3,"(True, False, True, False)",0.040223121643066406,21.12039369869232,0.0,16.909,0.0,16.909000396728516,-21.160616820335388
3,"(True, False, True, True)",0.03946042060852051,23.239807930707933,20.0,17.205,0.0,17.204999923706055,-23.279268351316453
3,"(True, True, False, False)",0.04901885986328125,21.38081645965576,0.0,17.205,0.0,17.204999923706055,-21.429835319519043
